uid,variant
7798,treatment
463,treatment
6528,treatment
6857,treatment
13647,control
1902,treatment
9041,treatment
4340,control
5172,treatment
4201,treatment
1849,treatment
12130,control
3516,treatment
3362,treatment
14980,control
12813,treatment
8238,treatment
9424,treatment
16357,control
4284,treatment
5050,treatment
15753,treatment
8357,control
5336,treatment
12229,control
4725,control
10484,control
578,treatment
14095,control
14782,control
5083,control
17233,treatment
16098,control
5666,treatment
12092,control
110,control
3048,treatment
2413,treatment
10037,control
3664,treatment
11858,treatment
8903,treatment
423,control
4906,treatment
3763,treatment
2030,control
692,control
11196,treatment
4459,treatment
5190,treatment
4007,treatment
9163,treatment
14203,treatment
16157,control
9392,treatment
11398,treatment
1610,control
9218,control
11185,control
12558,control
14983,treatment
15930,treatment
16982,treatment
3415,treatment
12698,control
2550,treatment
6006,treatment
14665,control
9824,treatment
13154,control
9031,control
8535,treatment
3217,control
12112,treatment
15353,treatment
15940,control
8888,control
4332,treatment
6530,control
781,treatment
4629,treatment
13238,treatment
16897,treatment
2200,control
15213,treatment
1163,control
8068,control
1768,treatment
9788,control
901,treatment
14633,control
16712,treatment
356,control
587,control
3941,control
11166,treatment
13451,treatment
6235,control
9697,control
9244,treatment
6260,control
10350,treatment
6562,control
6506,control
3358,control
8549,control
11956,treatment
16541,treatment
7990,treatment
2495,control
5196,treatment
8035,control
9400,treatment
1534,treatment
5625,control
2867,treatment
12814,treatment
11696,treatment
2674,control
7508,control
1977,control
16234,control
14018,treatment
2906,control
3371,treatment
2592,control
16627,treatment
7004,treatment
15134,control
6798,control
8957,control
6580,control
9170,treatment
8894,treatment
4186,control
4965,treatment
9040,treatment
5571,control
10357,control
15468,control
885,treatment
3229,control
14004,control
11096,control
8871,treatment
2648,control
11160,control
5360,treatment
17175,control
17048,treatment
39,control
2432,treatment
211,control
2596,treatment
14115,control
16487,control
3063,control
494,control
8310,control
2045,treatment
1752,control
2044,control
3572,treatment
16710,treatment
10111,control
14965,treatment
14958,treatment
7796,treatment
7828,control
12924,treatment
9186,treatment
6707,control
13104,control
15379,treatment
11243,treatment
4786,treatment
1559,control
11997,treatment
10503,control
7114,treatment
16722,treatment
10060,control
2475,treatment
6332,control
15209,control
12218,treatment
6351,control
1476,treatment
4207,control
4232,treatment
12653,treatment
6071,control
9590,treatment
6605,control
15168,control
7043,treatment
9551,control
12262,control
8642,treatment
395,treatment
14409,treatment
6060,treatment
7926,control
12761,treatment
4195,treatment
1565,control
10775,treatment
11608,control
12857,control
14363,treatment
8904,treatment
5097,control
281,treatment
14076,control
11760,control
9027,treatment
10493,control
15660,control
13288,control
5589,control
15745,treatment
3527,control
139,control
102,treatment
8435,control
8465,control
6762,control
2567,control
6177,treatment
3003,treatment
12317,treatment
16990,treatment
14471,control
13449,treatment
13920,control
5846,treatment
16200,treatment
15647,control
5030,treatment
522,treatment
6754,treatment
11801,treatment
13212,control
16645,control
8839,treatment
13577,treatment
16737,control
16899,control
12982,treatment
13127,control
192,treatment
1588,control
1692,control
740,treatment
10284,treatment
11404,treatment
5424,treatment
11527,treatment
9892,control
15936,control
3482,control
8299,treatment
16221,treatment
2717,treatment
6056,control
15709,treatment
6086,treatment
11257,control
14286,treatment
6813,control
3820,treatment
11645,treatment
3775,treatment
11767,control
8043,treatment
13859,treatment
11606,treatment
13515,treatment
12772,control
2300,control
4845,control
16456,control
178,treatment
655,control
14413,treatment
10395,treatment
13799,control
10471,control
6769,treatment
2005,control
1597,control
6493,control
4520,treatment
4229,treatment
11231,treatment
17038,control
8771,treatment
15422,treatment
14825,control
6503,control
7109,treatment
14660,control
16013,treatment
1410,control
8693,control
13075,treatment
11886,treatment
1826,control
16564,treatment
17006,treatment
12540,treatment
1877,control
17097,treatment
6817,control
14728,control
4480,control
15734,control
16755,control
3787,treatment
345,control
6336,control
5071,control
15462,control
16168,control
16989,control
7962,control
1911,treatment
6704,treatment
11348,control
15180,control
3731,treatment
11268,control
12968,treatment
13176,control
14921,treatment
11474,control
11922,control
12606,treatment
13536,control
1945,treatment
5408,control
14715,treatment
3857,control
13674,control
12062,control
16291,treatment
14397,control
2001,treatment
7645,treatment
8863,control
4026,control
4137,treatment
2644,treatment
8817,control
4485,treatment
8582,control
13325,control
3504,control
8832,control
4835,control
10924,control
9313,control
16808,control
7368,control
12447,treatment
247,treatment
2618,control
12402,control
3533,control
3513,control
14541,control
4315,control
7848,treatment
15888,control
1702,control
889,control
9488,treatment
15607,control
2321,treatment
7298,treatment
12895,control
15110,treatment
13025,control
16644,treatment
14479,control
3692,treatment
15387,control
15144,control
15311,control
7918,treatment
8079,treatment
658,control
7472,control
9869,treatment
11418,control
13701,treatment
11960,control
12313,treatment
8782,control
12386,treatment
16415,treatment
7890,treatment
7481,treatment
2346,control
2814,treatment
9103,treatment
12844,treatment
2063,control
10801,control
10331,control
15939,control
5843,control
10912,treatment
2841,treatment
964,control
9826,treatment
11963,control
10359,control
12182,treatment
5033,control
15786,treatment
13337,treatment
7432,treatment
6010,treatment
7814,control
16191,control
12756,control
2774,control
12104,control
11459,control
1991,treatment
7187,control
9733,treatment
2890,control
3926,control
1661,treatment
8558,control
4573,control
2158,treatment
4674,treatment
12051,control
11602,control
5784,treatment
14335,treatment
14853,treatment
4828,control
11667,control
13041,treatment
5693,treatment
7469,control
14646,control
5480,control
10016,control
3495,control
11551,control
3135,treatment
6216,control
11563,treatment
2972,treatment
8636,treatment
7475,control
16099,control
3321,control
7512,treatment
5354,treatment
6137,control
11161,control
10592,control
14634,control
1910,treatment
7372,control
7779,control
6313,treatment
10489,control
9228,control
9583,treatment
10701,control
12742,treatment
10196,treatment
1051,treatment
4034,treatment
10175,treatment
4790,control
13156,control
4690,control
5221,treatment
12175,control
11511,control
8622,treatment
9964,treatment
3675,treatment
4755,control
5126,control
6169,treatment
11826,treatment
13146,control
7934,control
11280,treatment
7038,control
4792,control
11309,control
3535,control
14676,control
4079,treatment
13904,control
604,treatment
10210,control
15514,control
5511,control
1025,treatment
8761,control
11445,control
15444,treatment
4680,control
5482,control
16272,control
4708,treatment
6910,control
2517,treatment
16992,control
15712,control
10504,treatment
16885,treatment
5175,control
10981,control
6645,treatment
6026,control
1247,treatment
11789,treatment
5209,treatment
5654,control
12579,control
2502,control
6864,control
7454,control
12613,control
8284,treatment
10617,treatment
15894,treatment
11550,control
8239,control
888,control
2254,treatment
13208,treatment
9330,control
11873,treatment
4469,treatment
12109,control
16985,control
12215,treatment
4402,treatment
6092,treatment
5441,treatment
16693,treatment
4542,control
4650,control
6118,treatment
10255,treatment
6735,control
15802,control
13570,control
5915,treatment
5952,control
15059,treatment
5593,control
8902,treatment
1311,control
3534,treatment
9430,treatment
10153,control
7470,control
8337,control
4104,treatment
5948,treatment
15513,treatment
3424,control
15788,treatment
1689,control
2837,control
8459,control
13329,control
13988,treatment
5905,treatment
12618,control
1266,control
923,treatment
11238,treatment
5427,treatment
4361,treatment
10305,control
8382,control
210,treatment
454,control
13645,treatment
4431,control
11063,control
6911,treatment
10657,control
5271,control
7179,control
6738,treatment
2189,treatment
2418,treatment
11674,control
8313,control
9653,treatment
3149,control
759,control
13829,control
85,control
6232,control
4425,treatment
16233,control
16097,treatment
9199,treatment
11045,control
4571,treatment
2146,treatment
87,treatment
380,control
1651,control
42,treatment
6322,control
6211,control
5049,control
4487,control
11612,control
13539,control
8108,control
13019,control
10322,control
12223,treatment
1759,treatment
14126,control
436,control
16920,control
6766,treatment
2681,treatment
2883,control
2796,control
14837,control
10321,control
1055,control
10818,control
7369,control
11812,treatment
13225,control
9213,treatment
3848,treatment
6460,control
1387,control
4056,treatment
3274,treatment
14122,control
12220,control
12091,control
14709,control
31,control
2626,control
14653,treatment
10667,control
14385,control
11249,treatment
10765,control
13500,treatment
14581,control
14069,treatment
14542,treatment
15072,treatment
13512,treatment
8270,control
15902,treatment
1608,treatment
12907,treatment
12153,control
11334,control
950,control
13876,control
16738,control
7749,control
2027,treatment
11720,control
2212,control
883,control
16736,treatment
14097,control
8236,treatment
1531,treatment
2379,treatment
8937,control
9482,control
7904,treatment
6356,treatment
9772,control
13696,control
13513,control
2795,control
2041,control
1755,treatment
12406,control
14489,control
14251,treatment
13705,treatment
1412,treatment
7020,control
8921,treatment
4964,control
4108,treatment
1856,treatment
3470,control
6536,treatment
16163,control
3333,control
6126,treatment
6456,control
7397,control
3087,treatment
11968,treatment
14635,control
2980,control
14957,control
7383,control
6430,treatment
1770,treatment
9725,treatment
3928,treatment
10422,control
2088,treatment
5149,treatment
6291,control
6220,treatment
2593,treatment
13250,treatment
11517,treatment
16637,control
8647,control
12014,control
841,treatment
9757,control
7903,control
16709,control
8071,control
2323,control
17244,control
5096,control
13684,control
2322,treatment
12385,treatment
11331,control
11853,control
9656,treatment
8453,treatment
11472,control
8581,treatment
3640,control
3347,treatment
8073,treatment
7419,treatment
11199,treatment
6349,treatment
16486,control
15328,treatment
10571,control
1424,control
9938,treatment
16219,treatment
16352,control
16048,control
10525,treatment
7107,control
2586,control
12569,control
7309,treatment
10528,control
4957,treatment
320,treatment
2280,treatment
4526,treatment
702,treatment
12264,treatment
552,treatment
10909,control
5433,control
719,treatment
6278,treatment
5865,treatment
11099,treatment
7833,treatment
17047,treatment
1595,treatment
6534,control
17151,treatment
14726,control
4695,treatment
5491,treatment
5379,treatment
5282,treatment
15164,control
4416,control
26,control
7280,control
82,control
4756,control
12432,control
12191,control
5189,treatment
14938,control
11983,treatment
9407,control
7046,control
11145,treatment
17101,control
10529,control
789,control
14040,control
7830,treatment
1847,treatment
2937,control
8245,control
9054,control
7541,treatment
3259,treatment
1662,control
13966,treatment
15349,control
1012,control
2500,control
4042,treatment
9189,treatment
16914,control
10820,control
9652,control
8315,treatment
13477,control
3377,control
539,treatment
11154,treatment
17223,treatment
13672,control
8944,treatment
10272,treatment
17179,treatment
6110,treatment
15171,treatment
3213,treatment
9263,treatment
10609,control
8122,control
5191,treatment
9823,control
15703,control
13482,treatment
5981,control
5783,treatment
13609,treatment
2988,treatment
40,control
16701,control
16690,control
10531,control
19,treatment
6166,control
11177,treatment
5626,treatment
5280,control
13847,control
2237,control
12056,treatment
15496,control
1605,control
3246,control
11829,treatment
1613,control
13413,control
6476,treatment
1681,control
4945,control
13076,treatment
12646,treatment
1243,treatment
11506,control
1337,treatment
6609,treatment
15584,treatment
16579,treatment
1251,control
5182,control
16267,control
715,control
8580,control
14641,treatment
1190,treatment
369,treatment
11862,treatment
6505,treatment
4096,treatment
6399,control
2320,control
4891,treatment
13021,control
8574,control
11292,control
12413,treatment
15991,control
252,control
3407,treatment
8942,treatment
8667,treatment
4841,control
3529,treatment
753,control
4815,control
10033,control
9458,treatment
6466,control
3587,control
5822,treatment
15798,treatment
6863,control
9701,treatment
7484,control
5323,treatment
13198,control
10615,control
6208,control
12171,control
15748,treatment
5878,treatment
13995,control
12305,treatment
4167,control
12405,treatment
1052,control
7549,treatment
5239,treatment
9231,control
4704,treatment
8169,control
10447,treatment
9262,control
12133,control
10564,treatment
1096,treatment
12227,control
14156,treatment
12356,control
4684,treatment
9829,treatment
6013,control
9576,control
10928,control
16529,treatment
312,control
12307,treatment
6043,control
992,control
7441,treatment
872,treatment
7862,control
16563,control
13319,treatment
12323,treatment
2985,treatment
3823,treatment
14324,control
16841,control
3811,treatment
13245,control
12668,treatment
11469,control
16921,treatment
16546,control
11854,control
1734,treatment
5450,control
17192,control
1535,control
9222,treatment
5134,treatment
5951,control
16244,treatment
4072,control
15403,control
11335,control
1833,control
5849,treatment
4720,treatment
8923,control
11576,treatment
16437,treatment
9235,control
8512,control
6078,treatment
2835,control
2242,treatment
3355,control
8607,treatment
12160,treatment
904,control
11019,control
5759,treatment
9975,treatment
12327,control
13366,treatment
10985,treatment
5681,control
14229,treatment
15041,control
5703,control
1191,control
15548,control
15969,treatment
11589,treatment
15062,control
880,treatment
140,control
12686,control
9111,control
4301,control
12925,treatment
14654,control
8875,control
10628,control
11961,treatment
12884,treatment
12930,treatment
1656,control
2121,treatment
6413,control
11569,control
2993,control
10802,treatment
3147,treatment
12964,control
4590,treatment
2605,control
861,treatment
6548,treatment
13612,treatment
11276,control
10869,control
15471,treatment
6521,treatment
2726,control
2190,treatment
11638,control
12373,control
3967,treatment
1122,treatment
12992,treatment
10898,treatment
17086,control
2731,treatment
2792,control
6969,treatment
17143,control
6269,control
16342,control
8235,control
10602,treatment
8566,control
3594,treatment
16552,treatment
10524,control
13165,control
12430,control
1048,control
958,control
16659,control
15507,control
15014,treatment
9871,control
13125,treatment
11665,control
10806,control
3109,control
1200,control
9336,treatment
3226,treatment
5716,control
7842,control
12007,control
9117,control
15338,control
8672,control
1440,control
4745,treatment
15585,treatment
499,treatment
9074,control
7205,treatment
699,treatment
7271,control
15184,control
14474,treatment
13574,treatment
3330,treatment
12559,treatment
4907,control
4472,treatment
2274,treatment
15061,treatment
9905,control
15156,control
6424,treatment
9751,treatment
2899,treatment
17045,control
6755,control
13042,control
1590,control
16253,treatment
16125,control
4727,treatment
14418,treatment
12920,treatment
14310,control
7837,control
14678,treatment
8323,treatment
518,treatment
4453,treatment
11396,control
4763,control
13685,treatment
15556,treatment
12315,control
1330,treatment
8234,control
14345,treatment
12883,control
17216,control
12769,control
9935,control
7072,treatment
3181,treatment
13594,treatment
5924,treatment
96,control
1805,control
13441,control
9471,control
14289,treatment
3873,control
14187,control
7314,control
5121,control
13915,treatment
5370,treatment
1157,treatment
7546,control
12829,control
4956,treatment
10185,treatment
16175,treatment
13102,control
3356,treatment
8448,control
2303,treatment
6710,control
15360,treatment
12702,control
12530,treatment
10699,treatment
10343,control
14576,treatment
4535,control
9321,control
3101,treatment
15677,control
5815,treatment
8778,control
16757,control
2104,control
4411,control
2343,treatment
1120,treatment
9806,control
5550,control
11860,control
16329,control
4047,treatment
14704,treatment
9716,control
16055,treatment
13918,control
16180,treatment
13729,treatment
1520,treatment
11222,treatment
13838,treatment
6257,control
15219,treatment
9732,treatment
16354,control
4316,control
13700,treatment
6192,control
11598,control
16390,control
3318,treatment
13757,control
12942,treatment
6940,treatment
7766,treatment
14873,treatment
16845,control
15938,treatment
3485,treatment
9254,treatment
15268,control
10176,treatment
11131,treatment
6457,treatment
3422,control
2471,treatment
1411,treatment
15686,treatment
1004,treatment
1527,treatment
425,control
12689,control
13110,treatment
14101,treatment
1378,control
12916,control
8885,treatment
15951,treatment
15211,treatment
12228,control
3525,treatment
1568,control
11250,treatment
13050,control
4547,treatment
5388,control
2830,control
8726,treatment
9268,treatment
8416,treatment
1024,treatment
9617,control
17197,control
14340,control
16533,control
14480,treatment
12889,control
16050,treatment
12870,control
9745,treatment
14091,treatment
9768,control
12719,control
3245,treatment
14411,control
17088,control
5448,treatment
4386,control
4218,treatment
14719,control
5109,control
14497,treatment
8457,treatment
11743,control
563,treatment
14847,control
327,control
5173,treatment
16341,control
9371,treatment
2518,control
7868,control
6825,treatment
4165,control
4271,treatment
11877,control
1648,treatment
14500,treatment
9413,control
5543,control
11151,treatment
14352,treatment
4220,control
1477,control
15008,treatment
1414,control
11421,treatment
11780,control
13919,treatment
13532,treatment
2358,treatment
810,treatment
8588,control
16910,control
641,control
9423,treatment
15319,control
12879,treatment
8626,control
9265,treatment
3722,treatment
95,control
1344,treatment
887,treatment
7888,treatment
15320,control
3334,treatment
1992,treatment
13960,treatment
10725,control
8739,control
13453,control
16956,treatment
16674,treatment
6053,treatment
3444,treatment
14990,treatment
15068,treatment
9695,control
5996,treatment
15036,control
4211,control
14687,control
15532,control
1063,control
12169,treatment
2297,treatment
9374,control
15945,control
4206,control
7270,control
4565,control
2866,treatment
10769,treatment
16198,treatment
670,treatment
3597,treatment
1691,treatment
6746,control
3737,treatment
12609,treatment
4635,treatment
14197,control
4904,treatment
3694,treatment
5234,treatment
14718,treatment
11271,control
12479,control
8807,treatment
11438,treatment
1156,treatment
7294,control
548,treatment
2089,treatment
14245,treatment
8591,control
5483,treatment
13333,control
2938,treatment
11764,treatment
998,treatment
2920,control
14048,control
12477,treatment
293,control
684,treatment
4758,treatment
16077,treatment
16705,treatment
15089,control
15878,control
13679,control
3271,treatment
14042,treatment
15595,treatment
16636,treatment
8356,control
8618,treatment
5702,control
8027,control
3117,control
1763,treatment
12737,control
5471,treatment
10157,control
15587,control
10715,control
533,control
3208,treatment
677,control
1946,control
7153,treatment
971,treatment
12636,control
13099,treatment
8497,treatment
11402,control
9344,treatment
5223,treatment
3592,control
10188,control
11817,control
10933,control
6226,control
4697,treatment
12411,control
9468,treatment
4180,control
6510,control
3937,control
15714,control
3589,treatment
11374,treatment
11408,control
15909,control
5800,treatment
5434,control
6683,treatment
10679,treatment
1591,treatment
13437,control
9645,control
15208,control
9561,treatment
13689,control
15049,treatment
12577,treatment
7076,treatment
15346,control
9873,treatment
10370,control
15437,control
695,control
7436,treatment
11915,treatment
9303,control
13305,treatment
16770,treatment
3893,treatment
5583,control
1128,control
7315,treatment
8338,control
601,control
4462,control
8876,control
7982,treatment
10894,treatment
7058,control
1525,treatment
8110,control
4006,treatment
15243,control
8051,treatment
9777,control
6995,treatment
2981,treatment
14173,treatment
10793,treatment
9217,treatment
3410,control
1604,treatment
3094,control
11189,treatment
13880,control
5118,treatment
11007,treatment
16081,control
1990,treatment
14205,control
4224,control
16836,control
5462,control
11688,control
14093,treatment
10757,control
4106,control
9028,control
12267,control
12045,treatment
11065,control
9713,treatment
2847,treatment
8614,control
10903,control
10974,control
5832,treatment
13055,treatment
1137,treatment
472,control
6835,control
9796,control
8498,control
446,treatment
5409,control
14077,treatment
4698,treatment
8163,treatment
11562,treatment
43,treatment
8196,control
17039,treatment
15631,treatment
12156,control
6120,control
6036,control
4682,treatment
4593,treatment
16058,control
9229,treatment
8411,control
16330,treatment
8710,control
8773,control
16574,treatment
16386,treatment
10209,control
2464,treatment
15051,treatment
7360,treatment
13300,control
3137,treatment
2524,control
2264,control
2668,control
5729,control
10776,treatment
3337,treatment
8520,control
16113,control
12461,control
8373,control
414,treatment
8137,treatment
3637,control
7161,control
15562,treatment
3861,control
3638,treatment
5155,control
6343,treatment
15406,treatment
10151,treatment
8576,treatment
10874,treatment
3494,treatment
11220,control
3070,control
6426,treatment
9995,control
14884,treatment
6467,control
8362,treatment
14760,treatment
4657,control
4887,treatment
13223,treatment
2414,control
972,control
564,control
14353,control
6556,control
8988,treatment
16639,treatment
12059,treatment
10825,treatment
3014,treatment
8999,treatment
2018,control
3312,control
11470,control
13131,control
14934,treatment
1725,control
2348,control
2409,control
16585,treatment
4390,treatment
11162,control
1647,treatment
13330,control
12760,control
9195,control
8144,control
9921,treatment
2913,treatment
15511,control
5337,control
7343,treatment
8660,treatment
9717,control
14088,control
6384,control
8597,treatment
7921,treatment
11286,treatment
1516,treatment
3044,control
16363,control
6999,control
8657,treatment
10221,control
851,control
9504,control
11891,treatment
14466,treatment
1151,control
7127,control
919,control
2967,control
8681,control
646,control
7227,treatment
621,treatment
11303,treatment
3983,treatment
11614,control
2290,treatment
8087,control
9657,treatment
1368,control
14935,treatment
6895,control
16906,treatment
9592,control
5602,treatment
6190,control
15728,treatment
608,treatment
13990,treatment
4641,control
3900,control
2693,treatment
16196,control
16190,treatment
2521,treatment
14265,control
15542,control
16893,control
12140,treatment
2833,control
6294,treatment
4347,treatment
591,control
1628,control
16274,control
323,treatment
16810,control
15446,treatment
3833,control
16878,treatment
12770,treatment
6508,treatment
5817,control
9431,control
10474,control
11819,control
9435,treatment
2752,treatment
6324,treatment
6175,control
15777,treatment
5225,treatment
7914,treatment
13739,treatment
8517,control
5795,treatment
14138,treatment
16351,treatment
795,treatment
7507,treatment
3200,treatment
1466,treatment
16254,control
5274,control
3210,treatment
16561,control
2904,treatment
6778,treatment
7807,treatment
12694,control
15766,treatment
3182,treatment
4858,control
831,treatment
10646,treatment
16798,control
1443,treatment
8983,treatment
777,control
16280,treatment
9396,treatment
3029,control
15093,treatment
18,treatment
14121,control
6127,treatment
9259,control
6925,treatment
16041,treatment
10630,treatment
8057,treatment
5874,control
15937,treatment
16350,control
5644,treatment
2226,control
14814,treatment
9478,control
11073,control
6158,treatment
4948,control
11036,control
4182,treatment
6660,treatment
5324,control
10416,treatment
11433,treatment
157,treatment
6577,control
13220,treatment
792,control
12764,control
4107,control
3673,treatment
278,treatment
9373,control
10052,control
13636,treatment
15305,control
13742,control
16750,treatment
10421,control
4735,treatment
5868,treatment
10754,control
4197,treatment
9848,control
1670,treatment
16388,treatment
5567,treatment
12044,treatment
15999,treatment
4021,control
2356,treatment
11147,control
14073,treatment
14523,control
3712,control
12521,treatment
12681,treatment
6104,treatment
9949,treatment
13791,control
1366,treatment
11964,treatment
10382,treatment
10792,treatment
3006,control
9181,treatment
10167,control
4120,treatment
13450,control
12276,treatment
16887,control
4660,control
10601,treatment
14208,treatment
14179,control
1624,treatment
513,treatment
2296,control
5987,control
5735,treatment
14131,treatment
15871,control
16669,control
6992,control
438,treatment
14426,control
12508,treatment
